member,valid_time,lead_h,track_err_km,slp_pred,slp_obs,wind_pred_kt,wind_obs_kt,slp_err,wind_err_kt
4,2024-10-09 06:00:00,54,47.68047268444216,929.1908366277571,909.0,131.36034887527455,140.0,20.190836627757108,-8.639651124725447
4,2024-10-09 12:00:00,60,2.619324084123571,933.996699132449,919.0,135.21053452907026,135.0,14.996699132448953,0.2105345290702587
4,2024-10-09 18:00:00,66,48.3235637074936,930.2801038921054,945.0,127.23721629738802,115.0,-14.719896107894556,12.237216297388017
4,2024-10-10 00:00:00,72,46.533325294314956,956.8241791117666,956.0,95.9856663181204,105.0,0.8241791117666253,-9.014333681879606
4,2024-10-10 06:00:00,78,151.462989043168,977.5920815131524,975.0,73.82140941210132,70.0,2.5920815131523796,3.8214094121013176
4,2024-10-10 12:00:00,84,139.24499124266484,979.6206065832653,983.0,73.96877997267177,65.0,-3.379393416734729,8.968779972671769
4,2024-10-10 18:00:00,90,153.13610104351113,972.4305082786716,984.0,72.83660289415559,60.0,-11.569491721328404,12.83660289415559
4,2024-10-11 00:00:00,96,247.38153886405848,977.9271015187998,986.0,72.99195637910476,60.0,-8.072898481200241,12.991956379104764
4,2024-10-11 06:00:00,102,194.64509631553418,985.6793158469704,993.0,63.116714007015815,55.0,-7.3206841530295605,8.116714007015815
4,2024-10-11 12:00:00,108,273.80220398440775,988.6103845139232,997.0,60.8324784588694,55.0,-8.389615486076764,5.832478458869403
4,2024-10-11 18:00:00,114,367.76054634295906,983.1262869157844,999.0,60.64854182416418,50.0,-15.873713084215638,10.648541824164177
5,2024-10-07 00:00:00,0,0.0,981.0,981.0,75.0,75.0,0.0,0.0
5,2024-10-07 06:00:00,6,36.33937608600101,963.5182277102358,972.0,89.20148462450588,90.0,-8.481772289764194,-0.7985153754941194
5,2024-10-07 12:00:00,12,30.105927300904032,979.1034029690812,943.0,71.82304264153767,120.0,36.10340296908123,-48.17695735846233
5,2024-10-07 18:00:00,18,58.56688207633319,988.8658518137902,908.0,64.814986524075,150.0,80.86585181379019,-85.185013475925
5,2024-10-08 00:00:00,24,49.45047749722432,989.0512915706042,902.0,57.75689316053663,145.0,87.05129157060423,-87.24310683946337
5,2024-10-08 06:00:00,30,72.14721984856078,985.3925869012785,925.0,61.935973132676125,125.0,60.39258690127849,-63.064026867323875
5,2024-10-08 12:00:00,36,61.67304909353169,982.5865788409596,929.0,61.07895545319909,125.0,53.586578840959646,-63.92104454680091
5,2024-10-08 18:00:00,42,189.8543332376048,975.6812821481096,916.0,78.68290296993288,140.0,59.68128214810963,-61.31709703006712
5,2024-10-09 00:00:00,48,231.45721406450255,948.7092808338671,908.0,111.52993349658179,140.0,40.70928083386707,-28.47006650341821
5,2024-10-09 06:00:00,54,236.35934588095674,955.7939128171256,909.0,97.12498879259395,140.0,46.7939128171256,-42.87501120740605
5,2024-10-09 12:00:00,60,129.43910403262473,936.5988206544039,919.0,116.42798391397189,135.0,17.59882065440388,-18.572016086028114
5,2024-10-09 18:00:00,66,67.85807661097873,957.4308008435763,945.0,97.24976836823458,115.0,12.430800843576321,-17.750231631765416
5,2024-10-10 00:00:00,72,74.36236046945264,971.2836757016321,956.0,83.20020793348283,105.0,15.283675701632092,-21.79979206651717
5,2024-10-10 06:00:00,78,40.920941035683605,989.795302268607,975.0,47.02436459950435,70.0,14.795302268606974,-22.975635400495648
